Dataset,Metric,GRU4Rec,SASRec,TiSASRec,MEANTIME,UniSRec,LLM-ESR,LLMEmb,DiffuRec,ADRec,ISDSRec (ours)
Beauty,HR@5,"0.0412 ± 0.0006 [0.0405, 0.0419]","0.0538 ± 0.0005 [0.0532, 0.0544]","0.0559 ± 0.0005 [0.0553, 0.0565]","0.0576 ± 0.0004 [0.0571, 0.0581]","0.0602 ± 0.0004 [0.0597, 0.0607]","0.0648 ± 0.0004 [0.0643, 0.0653]","0.0667 ± 0.0004 [0.0662, 0.0672]","0.0627 ± 0.0004 [0.0622, 0.0632]","0.0679 ± 0.0004 [0.0674, 0.0684]","0.0726 ± 0.0004 [0.0721, 0.0731]"
Beauty,NDCG@5,"0.0245 ± 0.0004 [0.0240, 0.0250]","0.0326 ± 0.0004 [0.0321, 0.0331]","0.0340 ± 0.0004 [0.0335, 0.0345]","0.0351 ± 0.0003 [0.0347, 0.0355]","0.0368 ± 0.0003 [0.0364, 0.0372]","0.0399 ± 0.0003 [0.0395, 0.0403]","0.0415 ± 0.0003 [0.0411, 0.0419]","0.0385 ± 0.0003 [0.0381, 0.0389]","0.0421 ± 0.0003 [0.0417, 0.0425]","0.0457 ± 0.0003 [0.0453, 0.0461]"
Sports,HR@5,"0.0347 ± 0.0006 [0.0340, 0.0354]","0.0469 ± 0.0005 [0.0463, 0.0475]","0.0508 ± 0.0005 [0.0502, 0.0514]","0.0524 ± 0.0004 [0.0519, 0.0529]","0.0539 ± 0.0004 [0.0534, 0.0544]","0.0585 ± 0.0004 [0.0580, 0.0590]","0.0609 ± 0.0004 [0.0604, 0.0614]","0.0561 ± 0.0004 [0.0556, 0.0566]","0.0605 ± 0.0004 [0.0600, 0.0610]","0.0651 ± 0.0004 [0.0646, 0.0656]"
Sports,NDCG@5,"0.0201 ± 0.0004 [0.0196, 0.0206]","0.0284 ± 0.0004 [0.0279, 0.0289]","0.0311 ± 0.0004 [0.0306, 0.0316]","0.0321 ± 0.0003 [0.0317, 0.0325]","0.0332 ± 0.0003 [0.0328, 0.0336]","0.0361 ± 0.0003 [0.0357, 0.0365]","0.0380 ± 0.0003 [0.0376, 0.0384]","0.0347 ± 0.0003 [0.0343, 0.0351]","0.0376 ± 0.0003 [0.0372, 0.0380]","0.0408 ± 0.0003 [0.0404, 0.0412]"
Toys,HR@5,"0.0389 ± 0.0006 [0.0382, 0.0396]","0.0506 ± 0.0005 [0.0500, 0.0512]","0.0541 ± 0.0005 [0.0535, 0.0547]","0.0554 ± 0.0004 [0.0549, 0.0559]","0.0587 ± 0.0004 [0.0582, 0.0592]","0.0636 ± 0.0004 [0.0631, 0.0641]","0.0654 ± 0.0004 [0.0649, 0.0659]","0.0613 ± 0.0004 [0.0608, 0.0618]","0.0660 ± 0.0004 [0.0655, 0.0665]","0.0708 ± 0.0004 [0.0703, 0.0713]"
Toys,NDCG@5,"0.0229 ± 0.0004 [0.0224, 0.0234]","0.0307 ± 0.0004 [0.0302, 0.0312]","0.0332 ± 0.0004 [0.0327, 0.0337]","0.0341 ± 0.0003 [0.0337, 0.0345]","0.0362 ± 0.0003 [0.0358, 0.0366]","0.0395 ± 0.0003 [0.0391, 0.0399]","0.0410 ± 0.0003 [0.0406, 0.0414]","0.0379 ± 0.0003 [0.0375, 0.0383]","0.0414 ± 0.0003 [0.0410, 0.0418]","0.0448 ± 0.0003 [0.0444, 0.0452]"
MovieLens-1M,HR@5,"0.1026 ± 0.0008 [0.1016, 0.1036]","0.1268 ± 0.0007 [0.1259, 0.1277]","0.1329 ± 0.0007 [0.1320, 0.1338]","0.1367 ± 0.0006 [0.1360, 0.1374]","0.1405 ± 0.0006 [0.1398, 0.1412]","0.1453 ± 0.0006 [0.1446, 0.1460]","0.1486 ± 0.0005 [0.1480, 0.1492]","0.1438 ± 0.0006 [0.1431, 0.1445]","0.1504 ± 0.0005 [0.1498, 0.1510]","0.1603 ± 0.0005 [0.1597, 0.1609]"
MovieLens-1M,NDCG@5,"0.0615 ± 0.0006 [0.0608, 0.0622]","0.0774 ± 0.0005 [0.0768, 0.0780]","0.0816 ± 0.0005 [0.0810, 0.0822]","0.0841 ± 0.0005 [0.0835, 0.0847]","0.0867 ± 0.0005 [0.0861, 0.0873]","0.0901 ± 0.0004 [0.0896, 0.0906]","0.0926 ± 0.0004 [0.0921, 0.0931]","0.0888 ± 0.0004 [0.0883, 0.0893]","0.0938 ± 0.0004 [0.0933, 0.0943]","0.1012 ± 0.0004 [0.1007, 0.1017]"
